accession,host_subject_id
SRR5950484,3015
SRR5950485,3016
SRR5950486,3031
SRR5950487,4023
SRR5950488,3027
SRR5950489,2084
SRR5950490,3022
SRR5950491,2084
SRR5950492,2068
SRR5950493,3030
SRR5950494,6013
SRR5950495,6035
SRR5950496,6016
SRR5950497,4043
SRR5950498,4045
SRR5950499,2064
SRR5950500,4024
SRR5950501,3027
SRR5950502,3027
SRR5950503,3022
SRR5950504,3015
SRR5950505,6013
SRR5950506,2072
SRR5950507,3022
SRR5950508,3023
SRR5950509,3021
SRR5950510,4027
SRR5950511,6014
SRR5950512,2084
SRR5950513,4040
SRR5950514,3037
SRR5950515,2084
SRR5950516,3035
SRR5950517,6033
SRR5950518,2079
SRR5950519,2075
SRR5950520,2042
SRR5950521,3035
SRR5950522,4045
SRR5950523,3034
SRR5950524,2079
SRR5950525,6016
SRR5950526,3030
SRR5950527,3031
SRR5950528,4024
SRR5950529,6013
SRR5950530,3022
SRR5950531,2047
SRR5950532,2064
SRR5950533,3035
SRR5950534,3023
SRR5950535,4038
SRR5950536,3034
SRR5950537,4039
SRR5950538,2064
SRR5950539,3027
SRR5950540,6033
SRR5950541,2068
SRR5950542,6035
SRR5950543,3022
SRR5950544,2068
SRR5950545,2084
SRR5950546,6033
SRR5950547,6017
SRR5950548,2085
SRR5950549,2072
SRR5950550,6014
SRR5950551,3032
SRR5950552,4043
SRR5950553,3035
SRR5950554,6038
SRR5950555,3037
SRR5950556,3035
SRR5950557,4043
SRR5950558,2083
SRR5950559,2084
SRR5950560,2103
SRR5950561,2084
SRR5950562,4023
SRR5950563,2072
SRR5950564,3023
SRR5950565,3030
SRR5950566,4038
SRR5950567,4030
SRR5950568,3034
SRR5950569,2068
SRR5950570,6025
SRR5950571,2048
SRR5950572,4031
SRR5950573,4039
SRR5950574,4040
SRR5950575,2068
SRR5950576,4035
SRR5950577,2068
SRR5950578,6024
SRR5950579,6024
SRR5950580,3034
SRR5950581,2084
SRR5950582,4045
SRR5950583,4032
SRR5950584,2072
SRR5950585,3032
SRR5950586,6016
SRR5950587,3035
SRR5950588,6013
SRR5950589,4031
SRR5950590,4030
SRR5950591,3037
SRR5950592,4024
SRR5950593,2077
SRR5950594,2097
SRR5950595,3035
SRR5950596,2085
SRR5950597,4044
SRR5950598,2084
SRR5950599,2083
SRR5950600,3028
SRR5950601,2068
SRR5950602,2072
SRR5950603,4023
SRR5950604,3035
SRR5950605,3022
SRR5950606,3027
SRR5950607,6033
SRR5950608,6013
SRR5950609,3032
SRR5950610,3027
SRR5950611,4039
SRR5950612,3028
SRR5950613,4039
SRR5950614,3012
SRR5950615,6013
SRR5950616,3031
SRR5950617,2083
SRR5950618,3032
SRR5950619,3037
SRR5950620,4032
SRR5950621,6018
SRR5950622,4030
SRR5950623,3037
SRR5950624,6012
SRR5950625,4015
SRR5950626,2083
SRR5950627,3016
SRR5950628,4023
SRR5950629,4019
SRR5950630,2064
SRR5950631,6028
SRR5950632,2085
SRR5950633,2068
SRR5950634,4023
SRR5950635,3028
SRR5950636,3031
SRR5950637,3032
SRR5950638,4018
SRR5950639,6010
SRR5950640,3027
SRR5950641,6012
SRR5950642,3022
SRR5950643,3034
SRR5950644,4032
SRR5950645,3027
SRR5950646,4016
SRR5950647,4042
SRR5950648,3022
SRR5950649,4024
SRR5950650,3037
SRR5950651,2083
SRR5950652,2061
SRR5950653,2068
SRR5950654,6018
SRR5950655,3035
SRR5950656,2068
SRR5950657,4040
SRR5950658,2072
SRR5950659,4043
SRR5950660,2084
SRR5950661,6037
SRR5950662,3037
SRR5950663,6038
SRR5950664,2097
SRR5950665,3027
SRR5950666,5013
SRR5950667,6005
SRR5950668,2068
SRR5950669,3015
SRR5950670,6013
SRR5950671,4019
SRR5950672,3017
SRR5950673,3022
SRR5950674,3016
SRR5950675,4015
SRR5950676,3016
SRR5950677,4031
SRR5950678,4032
SRR5950679,3029
SRR5950680,3021
SRR5950681,3030
SRR5950682,6024
SRR5950683,3015
SRR5950684,4044
SRR5950685,6013
SRR5950686,2060
SRR5950687,4028
SRR5950688,3035
SRR5950689,2079
SRR5950690,2075
SRR5950691,3028
SRR5950692,3027
SRR5950693,2084
SRR5950694,3037
SRR5950695,4035
SRR5950696,2077
SRR5950697,2072
SRR5950698,2068
SRR5950699,2084
SRR5950700,2103
SRR5950701,2083
SRR5950702,2075
SRR5950703,3035
SRR5950704,4045
SRR5950705,2083
SRR5950706,2084
SRR5950707,6038
SRR5950708,4045
SRR5950709,6038
SRR5950710,3037
SRR5950711,2084
SRR5950712,6035
SRR5950713,6010
SRR5950714,3016
SRR5950715,4023
SRR5950716,3027
SRR5950717,4024
SRR5950718,4024
SRR5950719,4018
SRR5950720,2068
SRR5950721,3023
SRR5950722,3012
SRR5950723,4027
SRR5950724,6013
SRR5950725,3017
SRR5950726,2077
SRR5950727,2077
SRR5950728,3030
SRR5950729,4024
SRR5950730,6024
SRR5950731,4028
SRR5950732,2064
SRR5950733,2061
SRR5950734,3028
SRR5950735,2072
SRR5950736,2064
SRR5950737,3031
SRR5950738,4035
SRR5950739,2085
SRR5950740,4024
SRR5950741,6013
SRR5950742,2083
SRR5950743,4042
SRR5950744,3034
SRR5950745,2097
SRR5950746,2069
SRR5950747,2084
SRR5950748,2103
SRR5950749,4038
SRR5950750,3028
SRR5950751,4035
SRR5950752,3022
SRR5950753,4023
SRR5950754,3035
SRR5950755,3027
SRR5950756,3029
SRR5950757,4030
SRR5950758,2064
SRR5950759,2060
SRR5950760,3023
SRR5950761,3031
SRR5950762,3013
SRR5950763,3021
SRR5950764,4032
SRR5950765,4020
SRR5950766,3016
SRR5950767,2064
SRR5950768,4032
SRR5950769,2079
SRR5950770,3032
SRR5950771,3015
SRR5950772,3034
SRR5950773,2068
SRR5950774,3027
SRR5950775,3021
SRR5950776,3030
SRR5950777,6017
SRR5950778,2068
SRR5950779,2064
SRR5950780,3037
SRR5950781,4032
SRR5950782,2068
SRR5950783,2072
SRR5950784,2079
SRR5950785,2083
SRR5950786,3031
SRR5950787,2085
SRR5950788,3034
SRR5950789,3032
SRR5950790,3017
SRR5950791,3022
SRR5950792,2083
SRR5950793,4038
SRR5950794,3034
SRR5946763,6035
SRR5946764,4038
SRR5946765,6035
SRR5946766,6033
SRR5946767,4043
SRR5946768,2008
SRR5946769,2008
SRR5946770,2008
SRR5946771,2008
SRR5946772,2041
SRR5946773,4015
SRR5946774,2034
SRR5946775,2008
SRR5946776,2042
SRR5946777,2048
SRR5946778,3031
SRR5946779,4023
SRR5946780,3022
SRR5946781,6016
SRR5946782,2068
SRR5946783,4031
SRR5946784,3031
SRR5946785,2064
SRR5946786,3008
SRR5946787,2048
SRR5946788,2039
SRR5946789,4007
SRR5946790,3027
SRR5946791,2042
SRR5946792,4020
SRR5946793,4010
SRR5946794,3010
SRR5946795,6009
SRR5946796,6013
SRR5946797,6024
SRR5946798,5009
SRR5946799,3013
SRR5946800,6017
SRR5946801,3028
SRR5946802,6025
SRR5946803,2061
SRR5946804,6035
SRR5946805,4031
SRR5946806,6018
SRR5946807,4038
SRR5946808,2072
SRR5946809,4044
SRR5946810,6038
SRR5946811,3021
SRR5946812,5013
SRR5946813,6037
SRR5946814,3010
SRR5946815,4023
SRR5946816,4015
SRR5946817,2042
SRR5946818,2061
SRR5946819,3016
SRR5946820,3017
SRR5946821,2034
SRR5946822,4017
SRR5946823,3006
SRR5946824,4019
SRR5946825,2077
SRR5946826,3030
SRR5946827,4043
SRR5946828,4045
SRR5946829,2077
SRR5946830,4040
SRR5946831,2075
SRR5946832,2103
SRR5946833,2085
SRR5946834,2079
SRR5946835,6038
SRR5946836,3032
SRR5946837,6028
SRR5946838,6025
SRR5946839,4043
SRR5946840,4043
SRR5946841,4038
SRR5946842,6033
SRR5946843,3032
SRR5946844,2097
SRR5946845,4001
SRR5946846,2041
SRR5946847,2042
SRR5946848,2069
SRR5946849,4017
SRR5946850,6012
SRR5946851,2039
SRR5946852,3029
SRR5946853,3030
SRR5946854,3028
SRR5946855,4035
SRR5946856,2085
SRR5946857,4024
SRR5946858,4027
SRR5946859,6010
SRR5946860,4043
SRR5946861,6014
SRR5946862,2083
SRR5946863,4030
SRR5946864,6028
SRR5946865,3008
SRR5946866,2072
SRR5946867,2042
SRR5946868,3022
SRR5946869,4028
SRR5946870,4023
SRR5946871,3017
SRR5946872,3006
SRR5946873,3015
SRR5946874,4016
SRR5946875,3011
SRR5946876,2042
SRR5946877,4007
SRR5946878,4007
SRR5946879,4019
SRR5946880,2048
SRR5946881,3015
SRR5946882,5001
SRR5946883,3009
SRR5946884,5004
SRR5946885,3021
SRR5946886,4038
SRR5946887,2085
SRR5946888,4042
SRR5946889,2084
SRR5946890,6038
SRR5946891,2097
SRR5946892,2083
SRR5946893,6037
SRR5946894,4040
SRR5946895,2061
SRR5946896,6018
SRR5946897,6016
SRR5946898,4042
SRR5946899,6037
SRR5946900,4039
SRR5946901,6033
SRR5946902,2085
SRR5946903,2083
SRR5946904,6038
SRR5946905,2084
SRR5946906,4035
SRR5946907,3015
SRR5946908,3023
SRR5946909,3002
SRR5946910,3028
SRR5946911,2041
SRR5946912,4015
SRR5946913,3027
SRR5946914,3012
SRR5946915,3002
SRR5946916,4018
SRR5946917,4015
SRR5946918,5004
SRR5946919,5009
SRR5946920,4016
SRR5946921,2042
SRR5946922,4014
SRR5946923,2084
SRR5946924,2097
SRR5946925,2079
SRR5946926,6016
SRR5946927,2069
SRR5946928,4031
SRR5946929,2064
SRR5946930,2042
SRR5946931,4045
SRR5946932,4043
SRR5946933,3027
SRR5946934,4028
SRR5946935,3009
SRR5946936,6013
SRR5946937,4008
SRR5946938,3004
SRR5946939,6012
SRR5946940,3030
SRR5946941,3021
SRR5946942,3008
SRR5946943,3015
SRR5946944,3028
SRR5946945,2028
SRR5946946,3022
SRR5946947,4024
SRR5946948,2034
SRR5946949,6005
SRR5946950,6013
SRR5946951,6012
SRR5946952,2072
SRR5946953,6038
SRR5946954,4013
SRR5946955,2097
SRR5946956,4035
SRR5946957,6037
SRR5946958,2097
SRR5946959,4045
SRR5946960,4039
SRR5946961,2083
SRR5946962,2064
SRR5946963,4042
SRR5946964,4040
SRR5946965,2068
SRR5946966,2047
SRR5946967,6017
SRR5946968,2069
SRR5946969,2084
SRR5946970,6018
SRR5946971,2061
SRR5946972,4039
SRR5946973,2034
SRR5946974,4013
SRR5946975,6025
SRR5946976,4027
SRR5946977,6013
SRR5946978,3032
SRR5946979,4038
SRR5946980,3029
SRR5946981,2060
SRR5946982,4027
SRR5946983,4042
SRR5946984,3008
SRR5946985,2042
SRR5946986,6035
SRR5946987,2047
SRR5946988,4016
SRR5946989,3022
SRR5946990,6012
SRR5946991,4007
SRR5946992,4023
SRR5946993,3022
SRR5946994,4015
SRR5946995,3001
SRR5946996,4001
SRR5946997,4007
SRR5946998,5001
SRR5946999,3010
SRR5947000,2039
SRR5947001,3002
SRR5947002,4004
SRR5947003,4006
SRR5947004,4013
SRR5947005,4014
SRR5947006,3011
SRR5947007,2034
SRR5947008,6024
SRR5947009,4019
SRR5947010,3027
SRR5947011,2064
SRR5947012,6014
SRR5947013,3017
SRR5947014,3016
SRR5947015,2028
SRR5947016,4035
SRR5947017,2097
SRR5947018,2103
SRR5947019,2079
SRR5947020,2068
SRR5947021,2069
SRR5947022,2072
SRR5947023,2085
SRR5947024,4045
SRR5947025,2083
SRR5947026,3029
SRR5947027,4022
SRR5947028,2060
SRR5947029,2075
SRR5947030,6033
SRR5947031,4022
SRR5947032,2075
SRR5947033,6033
SRR5947034,6016
SRR5947035,6018
SRR5947036,4017
SRR5947037,3023
SRR5947038,4019
SRR5947039,2028
SRR5947040,4015
SRR5947041,4024
SRR5947042,4020
SRR5947043,4007
SRR5947044,2028
SRR5947045,4024
SRR5947046,3008
SRR5947047,4006
SRR5947048,2047
SRR5947049,3002
SRR5947050,2034
SRR5947051,6005
SRR5947052,4022
SRR5947053,4004
SRR5947054,4042
SRR5947055,3029
SRR5947056,2083
SRR5947057,2097
SRR5947058,3008
SRR5947059,4019
SRR5947060,4017
SRR5947061,6018
SRR5947062,6035
SRR5947063,4020
SRR5947064,2069
SRR5947065,6035
SRR5947066,2071
SRR5947067,4044
SRR5947068,4035
SRR5947069,2075
SRR5947070,2077
SRR5947071,2071
SRR5947072,2084
SRR5947073,2069
SRR5947074,3023
SRR5947075,4019
SRR5947076,4039
SRR5947077,6018
SRR5947078,6010
SRR5947079,6028
SRR5947080,2069
SRR5947081,2075
SRR5947082,2064
SRR5947083,4027
SRR5947084,4035
SRR5947085,4004
SRR5947086,3010
SRR5947087,6010
SRR5947088,3005
SRR5947089,3027
SRR5947090,2034
SRR5947091,5004
SRR5947092,5001
SRR5947093,4019
SRR5947094,4015
SRR5947095,2034
SRR5947096,3005
SRR5947097,2039
SRR5947098,6005
SRR5947099,4001
SRR5947100,3003
SRR5947101,4016
SRR5947102,3015
SRR5947103,3013
SRR5947104,4022
SRR5946605,2028
SRR5946606,3028
SRR5946607,2034
SRR5946608,6014
SRR5946609,4024
SRR5946610,6018
SRR5946611,4018
SRR5946612,4024
SRR5946613,4010
SRR5946614,4015
SRR5946615,3023
SRR5946616,5013
SRR5946617,3027
SRR5946618,6018
SRR5946619,4017
SRR5946620,3001
SRR5946621,2028
SRR5946622,4018
SRR5946623,6014
SRR5946624,4001
SRR5946625,4022
SRR5946626,2048
SRR5946627,3015
SRR5946628,2042
SRR5946629,3017
SRR5946630,2083
SRR5946631,3016
SRR5946632,2097
SRR5946633,6035
SRR5946634,6037
SRR5946635,6035
SRR5946636,4044
SRR5946637,2103
SRR5946638,2071
SRR5946639,2085
SRR5946640,4045
SRR5946641,5013
SRR5946642,6010
SRR5946643,6012
SRR5946644,4024
SRR5946645,3022
SRR5946646,3012
SRR5946647,6018
SRR5946648,3027
SRR5946649,4019
SRR5946650,2034
SRR5946651,2060
SRR5946652,2041
SRR5946653,3021
SRR5946654,3003
SRR5946655,2069
SRR5946656,5004
SRR5946657,3015
SRR5946658,5009
SRR5946659,3023
SRR5946660,3022
SRR5946661,6013
SRR5946662,3009
SRR5946663,3006
SRR5946664,2034
SRR5946665,4015
SRR5946666,3001
SRR5946667,5009
SRR5946668,2034
SRR5946669,5009
SRR5946670,2072
SRR5946671,2042
SRR5946672,2077
SRR5946673,6024
SRR5946674,3015
SRR5946675,4040
SRR5946676,6018
SRR5946677,6028
SRR5946678,4032
SRR5946679,2069
SRR5946680,3029
SRR5946681,6014
SRR5946682,2060
SRR5946683,4032
SRR5946684,6014
SRR5946685,3015
SRR5946686,2034
SRR5946687,6025
SRR5946688,3032
SRR5946689,4022
SRR5946690,6025
SRR5946691,3028
SRR5946692,3021
SRR5946693,2028
SRR5946694,3027
SRR5946695,6005
SRR5946696,4023
SRR5946697,6012
SRR5946698,6010
SRR5946699,6005
SRR5946700,3031
SRR5946701,2072
SRR5946702,3029
SRR5946703,3012
SRR5946704,6017
SRR5946705,4044
SRR5946706,2085
SRR5946707,2079
SRR5946708,4045
SRR5946709,2103
SRR5946710,6038
SRR5946711,2084
SRR5946712,4045
SRR5946713,2077
SRR5946714,2083
SRR5946715,3004
SRR5946716,3015
SRR5946717,4044
SRR5946718,4035
SRR5946719,4015
SRR5946720,2069
SRR5946721,4039
SRR5946722,2071
SRR5946723,2079
SRR5946724,6038
SRR5946725,2077
SRR5946726,4044
SRR5946727,6037
SRR5946728,6013
SRR5946729,4023
SRR5946730,4022
SRR5946731,2079
SRR5946732,4044
SRR5946733,2069
SRR5946734,6037
SRR5946735,6018
SRR5946736,4040
SRR5946737,2077
SRR5946738,4044
SRR5946739,4035
SRR5946740,3022
SRR5946741,4014
SRR5946742,2028
SRR5946743,6038
SRR5946744,6009
SRR5946745,6009
SRR5946746,4022
SRR5946747,2042
SRR5946748,4024
SRR5946749,3015
SRR5946750,3027
SRR5946751,2039
SRR5946752,4015
SRR5946753,5009
SRR5946754,3015
SRR5946755,3001
SRR5946756,2028
SRR5946757,5013
SRR5946758,4001
SRR5946759,3006
SRR5946760,2042
SRR5946761,4015
SRR5946762,3022
SRR5935740,2061
SRR5935741,2071
SRR5935742,3005
SRR5935743,4039
SRR5935744,6010
SRR5935745,4024
SRR5935746,2028
SRR5935747,6018
SRR5935748,3011
SRR5935749,2039
SRR5935750,2069
SRR5935751,2026
SRR5935752,4004
SRR5935753,2014
SRR5935754,3012
SRR5935755,3016
SRR5935756,2021
SRR5935757,5013
SRR5935758,5004
SRR5935759,2027
SRR5935760,4020
SRR5935761,3003
SRR5935762,2014
SRR5935763,2008
SRR5935764,4013
SRR5935765,4017
SRR5935766,2021
SRR5935767,3013
SRR5935768,4008
SRR5935769,4008
SRR5935770,4013
SRR5935771,6014
SRR5935772,4024
SRR5935773,2077
SRR5935774,2047
SRR5935775,6012
SRR5935776,4035
SRR5935777,2069
SRR5935778,2084
SRR5935779,4032
SRR5935780,3001
SRR5935781,6017
SRR5935782,2071
SRR5935783,4035
SRR5935784,2041
SRR5935785,4019
SRR5935786,3016
SRR5935787,2026
SRR5935788,4009
SRR5935789,6013
SRR5935790,2028
SRR5935791,6010
SRR5935792,3015
SRR5935793,2042
SRR5935794,3009
SRR5935795,2041
SRR5935796,3011
SRR5935797,4022
SRR5935798,4023
SRR5935799,2064
SRR5935800,2069
SRR5935801,6018
SRR5935802,4017
SRR5935803,6010
SRR5935804,3010
SRR5935805,4017
SRR5935806,6016
SRR5935807,3016
SRR5935808,3001
SRR5935809,6005
SRR5935810,2042
SRR5935811,3002
SRR5935812,2041
SRR5935813,4022
SRR5935814,3004
SRR5935815,4010
SRR5935816,4023
SRR5935817,2039
SRR5935818,6018
SRR5935819,4032
SRR5935820,6017
SRR5935821,4035
SRR5935822,4038
SRR5935823,6009
SRR5935824,6005
SRR5935825,2048
SRR5935826,3004
SRR5935827,2041
SRR5935828,2008
SRR5935829,2025
SRR5935830,3004
SRR5935831,3009
SRR5935832,2034
SRR5935833,2042
SRR5935834,4015
SRR5935835,2026
SRR5935836,6018
SRR5935837,3012
SRR5935838,4032
SRR5935839,4035
SRR5935840,6018
SRR5935841,3002
SRR5935842,4020
SRR5935843,2075
SRR5935844,4014
SRR5935845,2085
SRR5935846,4030
SRR5935847,2068
SRR5935848,4023
SRR5935849,2072
SRR5935850,2041
SRR5935851,4018
SRR5935852,4035
SRR5935853,4006
SRR5935854,2008
SRR5935855,2021
SRR5935856,2026
SRR5935857,5004
SRR5935858,2028
SRR5935859,3006
SRR5935860,3001
SRR5935861,6010
SRR5935862,2014
SRR5935863,3004
SRR5935864,6013
SRR5935865,3013
SRR5935866,2047
SRR5935867,5013
SRR5935868,6018
SRR5935869,3010
SRR5935870,4020
SRR5935871,4028
SRR5935872,2072
SRR5935873,4020
SRR5935874,4014
SRR5935875,4040
SRR5935876,2039
SRR5935877,6016
SRR5935878,6010
SRR5935879,6010
SRR5935880,4006
SRR5935881,4027
SRR5935882,4031
SRR5935883,4010
SRR5935884,2064
SRR5935885,4020
SRR5935886,5013
SRR5935887,3003
SRR5935888,2034
SRR5935889,4022
SRR5935890,3010
SRR5935891,4004
SRR5935892,2047
SRR5935893,4009
SRR5935894,3009
SRR5935895,3016
SRR5935896,5013
SRR5935897,4006
SRR5935898,2069
SRR5935899,2034
SRR5935900,3002
SRR5935901,4018
SRR5935902,5001
SRR5935903,3009
SRR5935904,3015
SRR5935905,4015
SRR5935906,4017
SRR5935907,2028
SRR5935908,3004
SRR5935909,3004
SRR5935910,4028
SRR5935911,5001
SRR5935912,2041
SRR5935913,2027
SRR5935914,2042
SRR5935915,4009
SRR5935916,2039
SRR5935917,2028
SRR5935918,4004
SRR5935919,3005
SRR5935920,6010
SRR5935921,6028
SRR5935922,6016
SRR5935923,2069
SRR5935924,2075
SRR5935925,4040
SRR5935926,2064
SRR5935927,4030
SRR5935928,4031
SRR5935929,2079
SRR5935930,4006
SRR5935931,3015
SRR5935932,2028
SRR5935933,3004
SRR5935934,5009
SRR5935935,4019
SRR5935936,4006
SRR5935937,2014
SRR5935938,2042
SRR5935939,4014
SRR5935940,4010
SRR5935941,4006
SRR5935942,3006
SRR5935943,2026
SRR5935944,2028
SRR5935945,3012
SRR5935946,3012
SRR5935947,5013
SRR5935948,4031
SRR5935949,4020
SRR5935950,2071
SRR5935951,6018
SRR5935952,6010
SRR5935953,4030
SRR5935954,2069
SRR5935955,4039
SRR5935956,4035
SRR5935957,6005
SRR5935958,4009
SRR5935959,3013
SRR5935960,6009
SRR5935961,6012
SRR5935962,3011
SRR5935963,2048
SRR5935964,6009
SRR5935965,4008
SRR5935966,4008
SRR5935967,3010
SRR5935968,2060
SRR5935969,4010
SRR5935970,2047
SRR5935971,2072
SRR5935972,4020
SRR5935973,4018
SRR5935974,3015
SRR5935975,2060
SRR5935976,2039
SRR5935977,4038
SRR5935978,2064
SRR5935979,3005
SRR5935980,3008
SRR5935981,2061
SRR5935982,6010
SRR5935983,4019
SRR5935984,2060
SRR5935985,2041
SRR5935986,2027
SRR5935987,4035
SRR5935988,2069
SRR5935989,2042
SRR5935990,4017
SRR5935991,4018
SRR5935992,3012
SRR5935993,4027
SRR5935994,6012
SRR5935995,2039
SRR5935996,2026
SRR5935997,4004
SRR5935998,4017
SRR5935999,3005
SRR5936000,4013
SRR5936001,4007
SRR5936002,3010
SRR5936003,4014
SRR5936004,4006
SRR5936005,3004
SRR5936006,4020
SRR5936007,6005
SRR5936008,4018
SRR5936009,3004
SRR5936010,4016
SRR5936011,3016
SRR5936012,3003
SRR5936013,2048
SRR5936014,4022
SRR5936015,6016
SRR5936016,4030
SRR5936017,4006
SRR5936018,2068
SRR5936019,2072
SRR5936020,2061
SRR5936021,6018
SRR5936022,4035
SRR5936023,6010
SRR5936024,6012
SRR5936025,4023
SRR5936026,2069
SRR5936027,4019
SRR5936028,4028
SRR5936029,4020
SRR5936030,3015
SRR5936031,4008
SRR5936032,6010
SRR5936033,4023
SRR5936034,6012
SRR5936035,2041
SRR5936036,2025
SRR5936037,4022
SRR5936038,2034
SRR5936039,4010
SRR5936040,2025
SRR5936041,4016
SRR5936042,4019
SRR5936043,4013
SRR5936044,4017
SRR5936045,4007
SRR5936046,3016
SRR5936047,6012
SRR5936048,4004
SRR5936049,5013
SRR5936050,5009
SRR5936051,3004
SRR5936052,2039
SRR5936053,2026
SRR5936054,4020
SRR5936055,6028
SRR5936056,2072
SRR5936057,6013
SRR5936058,2061
SRR5936059,4035
SRR5936060,4028
SRR5936061,4019
SRR5936062,3009
SRR5936063,2068
SRR5936064,2064
SRR5936065,4013
SRR5936066,6009
SRR5936067,4019
SRR5936068,3016
SRR5936069,2008
SRR5936070,5001
SRR5936071,4017
SRR5936072,2027
SRR5936073,4020
SRR5936074,6010
SRR5936075,3012
SRR5936076,2034
SRR5936077,5013
SRR5936078,4035
SRR5936079,2034
SRR5936080,3004
SRR5936081,2041
SRR5936082,2026
SRR5936083,5004
SRR5936084,2039
SRR5936085,2027
SRR5936086,4006
SRR5936087,2028
SRR5936088,3008
SRR5936089,4014
SRR5936090,4020
SRR5936091,4039
SRR5936092,2069
SRR5936093,6013
SRR5936094,4019
SRR5936095,2047
SRR5936096,6028
SRR5936097,2061
SRR5936098,2072
SRR5936099,2047
SRR5936100,6024
SRR5936101,6010
SRR5936102,4039
SRR5936103,6018
SRR5936104,4008
SRR5936105,2061
SRR5936106,6005
SRR5936107,4006
SRR5936108,3016
SRR5936109,3012
SRR5936110,4027
SRR5936111,3013
SRR5936112,2039
SRR5936113,5004
SRR5936114,4020
SRR5936115,2042
SRR5936116,6016
SRR5936117,4017
SRR5936118,2060
SRR5936119,3008
SRR5936120,4020
SRR5936121,4031
SRR5936122,4014
SRR5936123,4019
SRR5936124,4015
SRR5936125,4006
SRR5936126,4024
SRR5936127,4018
SRR5936128,4030
SRR5936129,4017
SRR5936130,4013
SRR5936131,6016
SRR5936132,2061
SRR5936133,4020
SRR5936134,4006
SRR5936135,4019
SRR5936136,6028
SRR5936137,2072
SRR5936138,4017
SRR5936139,6024
SRR5936140,2064
SRR5936141,4016
SRR5936142,4010
SRR5936143,2060
SRR5936144,4035
SRR5936145,4028
SRR5936146,6024
SRR5936147,6010
SRR5936148,2068
SRR5936149,4038
SRR5936150,6013
SRR5936151,6033
SRR5936152,2071
SRR5936153,2026
SRR5936154,4017
SRR5936155,4006
SRR5936156,4023
SRR5936157,3004
SRR5936158,3006
SRR5936159,4024
SRR5936160,4020
SRR5936161,4019
SRR5936162,3005
SRR5936163,3010
SRR5936164,6009
SRR5936165,4023
SRR5936166,3012
SRR5936167,2069
SRR5936168,2079
SRR5936169,6018
SRR5936170,4020
SRR5936171,4019
SRR5936172,6005
SRR5936173,4016
SRR5936174,4027
SRR5936175,4015
SRR5936176,3004
SRR5936177,2025
SRR5936178,3005
SRR5936179,3010
SRR5936180,2008
SRR5936181,2027
SRR5936182,2026
SRR5936183,4015
SRR5936184,5009
SRR5936185,3006
SRR5936186,3009
SRR5936187,6028
SRR5936188,4030
SRR5936189,4019
SRR5936190,3013
SRR5936191,2047
SRR5936192,4016
SRR5936193,6005
SRR5936194,6013
SRR5936195,2048
SRR5936196,4015
SRR5936197,2084
SRR5936198,2072
SRR5936199,2069
SRR5936200,4030
SRR5936201,6017
SRR5936202,6010
SRR5936203,5009
SRR5936204,6017
SRR5936205,3016
SRR5936206,4031
SRR5936207,3009
SRR5936208,4004
SRR5936209,4006
SRR5936210,4006
SRR5936211,4010
SRR5936212,4024
SRR5936213,4009
SRR5936214,2027
SRR5936215,3016
SRR5936216,3004
SRR5936217,3003
SRR5936218,3002
SRR5936219,2026
SRR5936220,4015
SRR5936221,2014
SRR5936222,3009
SRR5936223,4006
SRR5936224,3004
SRR5936225,2025
SRR5936226,4014
SRR5936227,4007
SRR5936228,4018
SRR5936229,4023
SRR5936230,4006
SRR5936231,2047
SRR5936232,4020
SRR5936233,2025
SRR5936234,3011
SRR5936235,4007
SRR5936236,2027
SRR5936237,2026
SRR5936238,2042
SRR5936239,3008
SRR5962882,4024
SRR5962883,4009
SRR5962884,6009
SRR5962885,4044
SRR5962886,3011
SRR5962887,3027
SRR5962888,3004
SRR5962889,3011
SRR5962890,6009
SRR5962891,4014
SRR5962892,4006
SRR5962893,4013
SRR5962894,3004
SRR5962895,6005
SRR5962896,4009
SRR5962897,6005
SRR5962898,2064
SRR5962899,3023
SRR5962900,2069
SRR5962901,2068
SRR5962902,2077
SRR5962903,2068
SRR5962904,6018
SRR5962905,3017
SRR5962906,2047
SRR5962907,4044
SRR5962908,2071
